CDS_CODE	COUNTY	DISTRICT	SCHOOL	HISPANIC	AM_IND	ASIAN	PAC_ISLD	FILIPINO	AFRICAN_AM	WHITE	TWO_MORE_RACES	NOT_REPORTED	TOTAL	YEAR
10738091030121	Fresno	Firebaugh-Las Deltas Unified	Firebaugh High	44	0	0	0	0	0	6	0	0	50	1415
10738091030147	Fresno	Firebaugh-Las Deltas Unified	El Puente High	0	0	0	0	0	0	0	0	0	0	1415
10739650114751	Fresno	Central Unified	Pathway Community Day	0	0	0	0	0	0	0	0	0	0	1415
10739651030386	Fresno	Central Unified	Central Unified Alternative/Opportunity	4	0	1	0	0	0	0	1	0	6	1415
10739651030626	Fresno	Central Unified	Central High East Campus	151	2	76	1	8	32	80	2	0	352	1415
10739651035112	Fresno	Central Unified	Pershing Continuation High	2	0	0	0	0	1	0	0	0	3	1415
10739991033422	Fresno	Kerman Unified	Enterprise High	0	0	0	0	0	0	0	0	0	0	1415
10739991033430	Fresno	Kerman Unified	Kerman High	62	1	10	0	0	0	12	0	0	85	1415
10751271030261	Fresno	Mendota Unified	Mendota Continuation High	0	0	0	0	0	0	0	0	0	0	1415
10751271030493	Fresno	Mendota Unified	Mendota High	44	0	1	0	0	0	3	0	0	48	1415
10752341030352	Fresno	Golden Plains Unified	Rio Del Rey High (Continuation)	0	0	0	0	0	0	0	0	0	0	1415
10752341037456	Fresno	Golden Plains Unified	Tranquillity High	5	0	0	0	0	0	0	0	0	5	1415
10752751030139	Fresno	Sierra Unified	Sandy Bluffs Alternative Education Center	0	0	0	0	0	0	0	0	0	0	1415
10752751036938	Fresno	Sierra Unified	Sierra High	5	0	1	0	0	3	41	0	0	50	1415
10754081030253	Fresno	Riverdale Joint Unified	Horizon High	0	0	0	0	0	0	0	0	0	0	1415
10754081035575	Fresno	Riverdale Joint Unified	Riverdale High	51	0	0	0	0	0	10	0	0	61	1415
10755981030535	Fresno	Caruthers Unified	Caruthers High	47	0	4	0	0	0	13	0	0	64	1415
10755981030543	Fresno	Caruthers Unified	MARC High	0	0	0	0	0	0	0	0	0	0	1415
10767780108993	Fresno	Washington Unified	Easton Community Day	1	0	0	0	0	0	0	0	0	1	1415
10767780122473	Fresno	Washington Unified	Elm High	0	0	1	0	0	0	0	0	0	1	1415
10767781030774	Fresno	Washington Unified	W. E. B. DuBois Public Charter	0	0	0	0	0	0	0	0	0	0	1415
10767781038298	Fresno	Washington Unified	Easton Continuation High	0	0	0	0	0	0	0	0	0	0	1415
10767781038306	Fresno	Washington Unified	Washington High	57	0	17	0	0	5	8	0	0	87	1415
11101160130724	Glenn	Glenn County Office of Education	Success One!	0	0	0	0	0	0	0	0	0	0	1415
11101160130807	Glenn	Glenn County Office of Education	Conservation Corps of Long Beach Gateway Cities Ch	15	0	3	1	0	14	1	0	2	36	1415
11101161130087	Glenn	Glenn County Office of Education	Glenn County Juvenile Court	0	0	0	0	0	0	0	0	0	0	1415
11101161130103	Glenn	Glenn County Office of Education	William Finch	0	0	0	0	0	0	3	0	0	3	1415
11626461136209	Glenn	Princeton Joint Unified	Princeton Junior-Senior High	2	0	0	0	0	0	3	0	0	5	1415
11626531130046	Glenn	Stony Creek Joint Unified	Bidwell Point High (Continuation)	0	0	0	0	0	0	0	0	0	0	1415
11626531132109	Glenn	Stony Creek Joint Unified	Elk Creek Junior-Senior High	0	0	0	0	0	0	0	0	0	0	1415
11626611130038	Glenn	Willows Unified	Willows Community High	0	0	0	0	0	0	0	0	0	0	1415
11626611132851	Glenn	Willows Unified	Willows High	6	0	2	0	0	0	14	0	0	22	1415
11754811130012	Glenn	Orland Joint Unified	North Valley High (Continuation)	0	0	0	0	0	0	0	0	0	0	1415
